andreinyc,14110509,"b'Prolonging the birthday magic with oysters, lobsters and fave? https://t.co/TWnvwWoehh'",2018-02-27 05:31:00
djDAVVIDx,237513771,"b'?I know sometimes,\nI lose my mind.\nI live on dreams\nThat aren?t so sturdy.? ? w: Royale https://t.co/QLidYr673W'",2018-02-27 05:25:56
Robyn_Mowatt,37468596,"b'I met God, she?s black. @ Royale https://t.co/MtHjxFfT6o'",2018-02-27 04:31:38
primadonnagvrl,201465466,b'seeing @kelelam tonight really renewed my soul ?? https://t.co/o4bdKgRpNs',2018-02-27 04:20:46
WeirdGuyAkim,167921627,"b'""Ridin with my n*ggas, cuz they understand me"" - PND https://t.co/eAPEgcysn1'",2018-02-27 03:49:33
3knock,38117576,b'When you randomly end up here. Good treat. Tonight was def an adventure I didn?t expect. ?? https://t.co/EgUBi3Z5uh',2018-02-27 03:33:50
HaikunHe,844700490,"b'Not quite there yet, but hey, Happy Lantern Festival! https://t.co/amsq0tecLy'",2018-02-27 03:31:44
Fitzness,18175406,b'Easiest way to do the @b_a_a_ finish line! Super fun legalseafoods dinner with weirickchad .? https://t.co/bQr3UcNnrW',2018-02-27 03:28:18
ErinOfBoston,20351179,"b'The spot.... (@ OAK Long Bar + Kitchen - @oaklbk in Boston, MA) https://t.co/u7IloPCHjp'",2018-02-27 02:58:53
SKankaansyrja,251676190,"b""I'm at Lolita Cocina &amp; Tequila Bar - @lolitaboston in Boston, MA https://t.co/Hr1qJxa2ty""",2018-02-27 02:36:18
MavenTattler,562968333,"b'Outstanding visit @DorettaBoston w @jacseamit, must return to explore the menu more deeply. https://t.co/4iPeRRpppe'",2018-02-27 02:25:40
KyleWKerr,6369532,b'Got to witness a beautiful wedding this weekend! Congrats Jess &amp; AJ!! @ Boston Public Library https://t.co/EYsPaPdDC2',2018-02-27 02:07:19
arlenstawasz,163862777,"b'We have a motivated group this semester, eager to take on the challenges of #climatechange in the built environment? https://t.co/AcjTWPk8ZR'",2018-02-27 01:52:25
cory1976,24252926,"b""I'm at Casa de dos gays y dos gatos in Boston, MA w/ @joebragdon https://t.co/HTs7kfTRMB https://t.co/LrZ1Bp00Wg""",2018-02-27 01:25:03
